Symbol,Security Name
AAPL,Apple Inc. - Common Stock
AMD,"Advanced Micro Devices, Inc. - Common Stock"
AMZN,"Amazon.com, Inc. - Common Stock"
GOOG,Alphabet Inc. - Class C Capital Stock
META,"Meta Platforms, Inc. - Class A Common Stock"
NVDA,NVIDIA Corporation - Common Stock
PLTR,Palantir Technologies Inc. - Class A Common Stock
RCAT,"Red Cat Holdings, Inc. - Common Stock"
TSLA,"Tesla, Inc.  - Common Stock"
